1|Я люблю читать научно-техническую литературу
2|У меня хороший аппетит
3|По утрам я обычно встаю свежим и отдохнувшим
4|Думаю, что мне понравилась бы работа библиотекаря
5|Малейший шум меня будит
6|Я люблю читать заметки о преступлениях
7|Мои руки и ноги обычно достаточно теплые
8|Моя повседневная жизнь полна событий, интересующих меня
9|Моя работоспособность не хуже, чем была раньше
10|Я часто ощущаю «комок» в горле
11|Я верю, что сны всегда сбываются
12|Я люблю читать о преступлениях и таинственных приключениях
13|Работа дается мне ценой значительного напряжения
14|Номер этого пункта следует обвести кружочком
15|Временами мне в голову приходят такие нехорошие мысли, что о них лучше не рассказывать
16|Я считаю, что жизнь ко мне беспощадна
17|Мой отец хороший человек
18|У меня очень редко бывают запоры
19|Поступая на новую работу, я предпочитаю знать, с кем я должна наладить хорошие отношения
20|Моя половая жизнь удовлетворительна
21|Временами мне очень хотелось покинуть дом
22|Временами у меня бывают приступы смеха или плача, которые я не могу контролировать
23|Меня беспокоят приступы тошноты и рвоты
24|Мне кажется, что нет такого человека, который понимал бы меня
25|Я хотела бы быть певицей
26|Если я попадаю в неприятное положение, то мне лучше всего держать язык за зубами
27|Временами я нахожусь во власти какой-то злой силы
28|Если со мной поступают несправедливо, я чувствую, что должна отплатить за это просто из принципа
29|Несколько раз в неделю меня беспокоит изжога
30|Иногда мне хочется выругаться
31|Кошмарные сны снятся мне почти каждую ночь
32|Я замечаю, что мне трудно стало сосредоточиться на определенной задаче или работе
33|На этот пункт следует ответить 'не знаю'
34|Большую часть времени у меня бывает кашель
35|Если бы люди не имели ничего против меня, я бы добилась гораздо большего
36|Я редко беспокоюсь о своем здоровье
37|У меня никогда не было неприятностей из-за моего поведения, связанного с вопросами пола
38|В юности было время, когда я совершала мелкие кражи
39|Временами мне хочется ломать веши, бить посуду
40|Я бы предпочла большую часть времени сидеть ничего не делая и мечтать
41|У меня бывали такие периоды, тянувшиеся дни, недели или даже месяцы, когда я не могла ни за что взяться, так как не могла включиться в работу
42|Моей семье не нравится работа, которую я выбрала (или собираюсь выбрать)
43|У меня прерывистый и беспокойный сон
44|Большую часть времени у меня болит голова
45|Я не всегда говорю правду
46|Мой рассудок работает сейчас лучше, чем когда-либо
47|Раз в неделю или чаще меня без видимой причины неожиданно «обдает жаром»
48|На этот пункт ответьте 'не знаю'
49|Было бы лучше, если бы почти все законы отменили
50|Иногда у меня бывает такое ощущение, словно 'душа расстается с телом'
51|Мое физическое здоровье не хуже, чем у большинства моих знакомых
52|Я предпочитаю проходить мимо своих школьных друзей или людей, которых я давно не видела, если они не заговорят со мною первыми
53|Я верю, что прикосновением руки и молитвой можно вылечить болезнь
54|Большинство знающих меня людей относятся ко мне хорошо
55|Меня редко беспокоят боли в сердце или груди
56|Когда я была девчонкой, меня выгоняли из школы за баловоство и прогулы
57|Я- человек общительный
58|Все, что предстоит человечеству, давно уже предначертано
59|Мне часто приходилось выполнять указания лиц, знавших меньше меня
60|Я не каждый день читаю новостные сайты
61|Я вела неправильный образ жизни
62|Я часто чувствую жжение, покалывание или онемение в различных частях своего тела
63|Номер этого пункта следует обвести кружочком
64|Временами я так настаиваю на своем, что окружающие теряют терпение
65|Я люблю (любила) своего отца
66|Номер этого пункта следует обвести кружочком
67|Другие мне кажутся счастливее меня
